,buffer,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
0,0.1,4.0,104.0,204.0,30.0,52.0,512.0
1,0.2,5.0,106.0,205.0,30.0,52.0,515.0
2,0.3,8.0,106.0,207.0,30.0,54.0,520.0
3,0.4,9.0,107.0,210.0,32.0,58.0,523.0
4,0.5,9.0,107.0,214.0,33.0,68.0,525.0
5,0.6,10.0,108.0,223.0,33.0,75.0,530.0
6,0.7,11.0,109.0,231.0,34.0,84.0,531.0
7,0.8,11.0,109.0,241.0,34.0,98.0,532.0
8,0.9,12.0,110.0,245.0,35.0,106.0,532.0
9,1.0,13.0,111.0,249.0,37.0,116.0,532.0
10,1.1,14.0,112.0,260.0,37.0,129.0,533.0
11,1.2,15.0,113.0,269.0,37.0,134.0,534.0
12,1.3,18.0,113.0,278.0,37.0,144.0,536.0
13,1.4,20.0,114.0,288.0,37.0,149.0,538.0
14,1.5,23.0,114.0,301.0,37.0,155.0,540.0
15,1.6,24.0,114.0,314.0,37.0,166.0,545.0
16,1.7,25.0,115.0,321.0,37.0,175.0,549.0
17,1.8,26.0,116.0,332.0,37.0,181.0,554.0
18,1.9,29.0,118.0,338.0,38.0,184.0,558.0
19,2.0,32.0,118.0,345.0,39.0,192.0,561.0
20,2.1,36.0,119.0,353.0,39.0,202.0,563.0
21,2.2,38.0,120.0,357.0,39.0,216.0,568.0
22,2.3,39.0,121.0,362.0,40.0,225.0,572.0
23,2.4,41.0,121.0,369.0,41.0,235.0,575.0
24,2.5,43.0,121.0,379.0,41.0,241.0,579.0
25,2.6,44.0,124.0,386.0,42.0,252.0,582.0
26,2.7,45.0,126.0,393.0,43.0,260.0,587.0
27,2.8,46.0,126.0,401.0,46.0,264.0,593.0
28,2.9,50.0,127.0,408.0,47.0,272.0,599.0
29,3.0,50.0,128.0,417.0,48.0,279.0,603.0
30,3.1,52.0,128.0,426.0,50.0,286.0,613.0
31,3.2,55.0,129.0,431.0,51.0,299.0,617.0
32,3.3,58.0,130.0,442.0,52.0,305.0,619.0
33,3.4,61.0,131.0,448.0,53.0,312.0,624.0
34,3.5,62.0,133.0,456.0,55.0,323.0,630.0
35,3.6,67.0,133.0,465.0,56.0,332.0,637.0
36,3.7,70.0,133.0,475.0,58.0,339.0,643.0
37,3.8,71.0,134.0,486.0,60.0,342.0,650.0
38,3.9,73.0,136.0,492.0,62.0,354.0,652.0
39,4.0,76.0,137.0,500.0,63.0,359.0,655.0
