,long,lat,geometry,approaches,indifferent,runs_from,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
0,-73.9561344937861,40.7940823884086,POINT (-73.9561344937861 40.7940823884086),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
1,-73.9570437717691,40.7948509408039,POINT (-73.9570437717691 40.7948509408039),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
2,-73.9757249834141,40.7697032606755,POINT (-73.9757249834141 40.7697032606755),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
3,-73.9565700386162,40.7902561000937,POINT (-73.9565700386162 40.7902561000937),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
4,-73.9602609920814,40.7942883045566,POINT (-73.9602609920814 40.7942883045566),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
5,-73.9702676472613,40.7762126854894,POINT (-73.9702676472613 40.7762126854894),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
6,-73.9683613516225,40.7725908847499,POINT (-73.9683613516225 40.7725908847499),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
7,-73.9582694312289,40.7917367820255,POINT (-73.9582694312289 40.7917367820255),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
8,-73.9674285955293,40.7829723919744,POINT (-73.9674285955293 40.7829723919744),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
9,-73.9768603630674,40.7702795904962,POINT (-73.9768603630674 40.7702795904962),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
10,-73.9706105896967,40.7698124821507,POINT (-73.9706105896967 40.7698124821507),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
11,-73.9703781726172,40.7787526130321,POINT (-73.9703781726172 40.7787526130321),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
12,-73.9703925210471,40.7765032004992,POINT (-73.9703925210471 40.7765032004992),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
13,-73.9584070974734,40.7913812490557,POINT (-73.9584070974734 40.7913812490557),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
14,-73.9671130680114,40.7784859700171,POINT (-73.9671130680114 40.7784859700171),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
15,-73.9670628558161,40.7734991420941,POINT (-73.9670628558161 40.7734991420941),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
16,-73.958736593111,40.7908524370626,POINT (-73.958736593111 40.7908524370626),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
17,-73.9692943291611,40.7769536102488,POINT (-73.9692943291611 40.7769536102488),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
18,-73.9540054100539,40.7952445999836,POINT (-73.9540054100539 40.7952445999836),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
19,-73.9576530157255,40.7868659490397,POINT (-73.9576530157255 40.7868659490397),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
20,-73.9738033257473,40.7711846894166,POINT (-73.9738033257473 40.7711846894166),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
21,-73.9704402681017,40.7798965621203,POINT (-73.9704402681017 40.7798965621203),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,True
22,-73.9643153920428,40.7820818516957,POINT (-73.9643153920428 40.7820818516957),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
23,-73.9535410657077,40.7928711760061,POINT (-73.9535410657077 40.7928711760061),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
24,-73.970252675331,40.7705999588222,POINT (-73.970252675331 40.7705999588222),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
25,-73.9579645940414,40.7918613498407,POINT (-73.9579645940414 40.7918613498407),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
26,-73.9673253417305,40.7749505252981,POINT (-73.9673253417305 40.7749505252981),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
27,-73.9602222116708,40.793779699421,POINT (-73.9602222116708 40.793779699421),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
28,-73.9680635070949,40.779249873647,POINT (-73.9680635070949 40.779249873647),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
29,-73.9675634326877,40.7813477352507,POINT (-73.9675634326877 40.7813477352507),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
30,-73.9584970643213,40.7982886348696,POINT (-73.9584970643213 40.7982886348696),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
31,-73.9568802149818,40.7972399133816,POINT (-73.9568802149818 40.7972399133816),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
32,-73.9690175838534,40.7760432720017,POINT (-73.9690175838534 40.7760432720017),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
33,-73.9704082821356,40.7690280985956,POINT (-73.9704082821356 40.7690280985956),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
34,-73.9684910712272,40.7768811640021,POINT (-73.9684910712272 40.7768811640021),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
35,-73.968381325559,40.7780143443779,POINT (-73.968381325559 40.7780143443779),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
36,-73.9694240327509,40.7755898126674,POINT (-73.9694240327509 40.7755898126674),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
37,-73.9576245992455,40.7873862510001,POINT (-73.9576245992455 40.7873862510001),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
38,-73.9666007935638,40.7845098131567,POINT (-73.9666007935638 40.7845098131567),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
39,-73.96148483609,40.7922645521905,POINT (-73.96148483609 40.7922645521905),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
40,-73.9546654184146,40.7947639241491,POINT (-73.9546654184146 40.7947639241491),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
41,-73.9667114027214,40.7768804702473,POINT (-73.9667114027214 40.7768804702473),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
42,-73.9615696577673,40.7951278622399,POINT (-73.9615696577673 40.7951278622399),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
43,-73.964474836001,40.7883840104749,POINT (-73.964474836001 40.7883840104749),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
44,-73.9610705592868,40.7914829661051,POINT (-73.9610705592868 40.7914829661051),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
45,-73.9578237168359,40.7980959471034,POINT (-73.9578237168359 40.7980959471034),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
46,-73.9617088749928,40.7944585082367,POINT (-73.9617088749928 40.7944585082367),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
47,-73.9701824825872,40.7766530579293,POINT (-73.9701824825872 40.7766530579293),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
48,-73.9676410497481,40.7766043512974,POINT (-73.9676410497481 40.7766043512974),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
49,-73.9541453465817,40.7982162223764,POINT (-73.9541453465817 40.7982162223764),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
50,-73.968052057989,40.777338666528,POINT (-73.968052057989 40.777338666528),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
51,-73.9565905868276,40.7895654068546,POINT (-73.9565905868276 40.7895654068546),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
52,-73.9565759733611,40.7992461674802,POINT (-73.9565759733611 40.7992461674802),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
53,-73.9551539498306,40.7987384656256,POINT (-73.9551539498306 40.7987384656256),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
54,-73.9692883970928,40.7768553703082,POINT (-73.9692883970928 40.7768553703082),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
55,-73.9708549670788,40.7699587019058,POINT (-73.9708549670788 40.7699587019058),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
56,-73.9639744005647,40.7825111950764,POINT (-73.9639744005647 40.7825111950764),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
57,-73.9730277911422,40.7712145488828,POINT (-73.9730277911422 40.7712145488828),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
58,-73.9710541405708,40.7724691605718,POINT (-73.9710541405708 40.7724691605718),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
59,-73.9544007658685,40.7950689723135,POINT (-73.9544007658685 40.7950689723135),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
60,-73.9575986161364,40.799368134968,POINT (-73.9575986161364 40.799368134968),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
61,-73.9764036522984,40.7705846185121,POINT (-73.9764036522984 40.7705846185121),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
62,-73.9589249555235,40.7908193284981,POINT (-73.9589249555235 40.7908193284981),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
63,-73.9521110154872,40.7978449143313,POINT (-73.9521110154872 40.7978449143313),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
64,-73.9574809028248,40.7950013620207,POINT (-73.9574809028248 40.7950013620207),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
