,indifferent,runs_from,running,climbing,eating,foraging,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
0,0,0,0,0,0,0,0,False,False,False,False,False,True
1,0,1,1,0,0,0,0,False,False,False,False,True,True
2,0,1,0,1,0,0,0,False,False,True,False,False,False
3,0,0,0,0,0,0,0,False,False,True,False,False,False
4,0,1,0,0,0,1,0,False,False,False,False,True,False
5,0,0,0,0,0,1,0,False,False,False,False,True,True
6,1,0,0,0,0,1,1,False,False,True,False,False,False
7,1,0,0,0,0,1,0,False,False,True,False,False,False
8,0,0,0,0,0,0,1,False,False,False,False,False,True
9,0,0,1,0,0,0,0,False,False,True,False,False,False
10,1,0,0,0,0,0,0,False,True,False,False,False,False
11,1,0,1,0,1,1,0,False,False,False,False,False,True
12,1,0,0,0,0,1,0,False,False,False,False,False,True
13,1,0,0,0,0,0,0,False,False,True,False,False,False
14,1,0,1,0,0,0,0,False,False,False,False,False,True
15,0,1,0,0,0,0,1,False,False,False,False,True,False
16,1,0,1,0,0,1,0,False,False,True,False,False,False
17,0,0,1,0,0,1,0,False,False,False,False,False,True
18,0,0,1,0,0,0,0,False,False,False,False,False,True
19,0,0,0,0,1,1,0,False,False,False,False,True,False
20,0,0,0,0,1,0,0,False,False,True,False,False,False
21,1,0,0,0,1,0,0,True,False,False,False,False,True
22,0,0,0,0,0,0,0,False,False,False,True,False,False
23,1,0,0,0,0,1,0,False,True,False,False,False,False
24,1,0,0,0,1,0,0,False,True,False,False,False,False
25,0,1,1,1,0,0,0,False,False,True,False,False,False
26,1,0,0,0,0,1,0,False,False,False,False,True,False
27,0,0,0,1,0,0,0,False,False,True,False,False,False
28,1,0,0,0,0,1,0,False,False,False,False,True,False
29,0,0,0,1,1,0,0,False,False,True,False,False,False
30,0,0,1,0,0,0,1,False,False,False,False,False,True
31,1,0,1,0,0,1,0,False,False,False,False,False,True
32,1,0,0,0,1,0,0,False,False,False,False,False,True
33,0,0,0,0,0,0,1,False,True,False,False,False,False
34,1,0,0,0,0,1,0,False,False,False,False,False,True
35,1,0,0,0,0,1,1,False,False,False,False,False,True
36,1,0,0,0,1,1,0,False,False,False,False,True,True
37,1,0,0,1,0,0,0,False,False,False,False,True,False
38,0,0,0,0,0,0,0,False,False,False,False,True,False
39,1,0,0,0,0,1,1,False,False,True,False,False,False
40,1,0,0,0,1,1,0,False,False,False,False,False,True
41,1,0,0,0,0,1,0,False,False,True,False,False,True
42,1,0,0,0,0,1,0,False,False,False,False,True,False
43,0,1,0,0,0,0,0,False,False,False,False,True,False
44,0,0,1,0,1,1,1,False,False,True,False,False,False
45,1,0,1,0,0,0,0,False,False,False,False,False,True
46,0,1,1,0,0,0,0,False,False,False,False,True,False
47,0,1,1,0,0,0,0,False,False,False,False,False,True
48,0,0,0,1,0,0,0,False,False,True,False,False,True
49,0,1,1,0,0,1,0,False,False,False,False,False,True
50,1,0,0,0,0,1,0,False,False,True,False,False,True
