,behavior,feature 1,feature 2,p-value
0,indifferent,nearbuilding,neargarden,0.1611
1,indifferent,nearbuilding,neargrass,0.0005
2,indifferent,nearbuilding,nearpedestrian,0.3692
3,indifferent,nearbuilding,nearwater,0.2612
4,indifferent,nearbuilding,nearwoods,0.0806
5,indifferent,neargarden,neargrass,0.0175
6,indifferent,neargarden,nearpedestrian,0.0186
7,indifferent,neargarden,nearwater,0.5284
8,indifferent,neargarden,nearwoods,0.9699
9,indifferent,neargrass,nearpedestrian,0.0
10,indifferent,neargrass,nearwater,0.0001
11,indifferent,neargrass,nearwoods,0.0004
12,indifferent,nearpedestrian,nearwater,0.0287
13,indifferent,nearpedestrian,nearwoods,0.0059
14,indifferent,nearwater,nearwoods,0.2393
15,runs_from,nearbuilding,neargarden,0.7759
16,runs_from,nearbuilding,neargrass,0.2948
17,runs_from,nearbuilding,nearpedestrian,0.421
18,runs_from,nearbuilding,nearwater,0.5241
19,runs_from,nearbuilding,nearwoods,0.2003
20,runs_from,neargarden,neargrass,0.0579
21,runs_from,neargarden,nearpedestrian,0.5271
22,runs_from,neargarden,nearwater,0.2213
23,runs_from,neargarden,nearwoods,0.0399
24,runs_from,neargrass,nearpedestrian,0.0428
25,runs_from,neargrass,nearwater,0.4611
26,runs_from,neargrass,nearwoods,0.6769
27,runs_from,nearpedestrian,nearwater,0.1131
28,runs_from,nearpedestrian,nearwoods,0.0292
29,runs_from,nearwater,nearwoods,0.1882
30,running,nearbuilding,neargarden,0.8955
31,running,nearbuilding,neargrass,0.5729
32,running,nearbuilding,nearpedestrian,0.2575
33,running,nearbuilding,nearwater,0.7846
34,running,nearbuilding,nearwoods,0.2153
35,running,neargarden,neargrass,0.3171
36,running,neargarden,nearpedestrian,0.2646
37,running,neargarden,nearwater,0.5953
38,running,neargarden,nearwoods,0.0771
39,running,neargrass,nearpedestrian,0.0444
40,running,neargrass,nearwater,0.5915
41,running,neargrass,nearwoods,0.1807
42,running,nearpedestrian,nearwater,0.1002
43,running,nearpedestrian,nearwoods,0.0121
44,running,nearwater,nearwoods,0.042
45,climbing,nearbuilding,neargarden,0.1187
46,climbing,nearbuilding,neargrass,0.6735
47,climbing,nearbuilding,nearpedestrian,0.9494
48,climbing,nearbuilding,nearwater,0.2933
49,climbing,nearbuilding,nearwoods,0.1384
50,climbing,neargarden,neargrass,0.0549
51,climbing,neargarden,nearpedestrian,0.1217
52,climbing,neargarden,nearwater,0.3426
53,climbing,neargarden,nearwoods,0.6035
54,climbing,neargrass,nearpedestrian,0.6319
55,climbing,neargrass,nearwater,0.248
56,climbing,neargrass,nearwoods,0.0271
57,climbing,nearpedestrian,nearwater,0.2904
58,climbing,nearpedestrian,nearwoods,0.1558
59,climbing,nearwater,nearwoods,0.425
60,eating,nearbuilding,neargarden,0.301
61,eating,nearbuilding,neargrass,0.0824
62,eating,nearbuilding,nearpedestrian,0.7795
63,eating,nearbuilding,nearwater,0.2537
64,eating,nearbuilding,nearwoods,0.0307
65,eating,neargarden,neargrass,0.4862
66,eating,neargarden,nearpedestrian,0.5184
67,eating,neargarden,nearwater,0.9669
68,eating,neargarden,nearwoods,0.2373
69,eating,neargrass,nearpedestrian,0.2218
70,eating,neargrass,nearwater,0.3303
71,eating,neargrass,nearwoods,0.3762
72,eating,nearpedestrian,nearwater,0.4783
73,eating,nearpedestrian,nearwoods,0.1147
74,eating,nearwater,nearwoods,0.0382
75,foraging,nearbuilding,neargarden,0.178
76,foraging,nearbuilding,neargrass,0.1822
77,foraging,nearbuilding,nearpedestrian,0.9876
78,foraging,nearbuilding,nearwater,0.1024
79,foraging,nearbuilding,nearwoods,0.1998
80,foraging,neargarden,neargrass,0.706
81,foraging,neargarden,nearpedestrian,0.2017
82,foraging,neargarden,nearwater,0.9329
83,foraging,neargarden,nearwoods,0.6617
84,foraging,neargrass,nearpedestrian,0.2201
85,foraging,neargrass,nearwater,0.5353
86,foraging,neargrass,nearwoods,0.8851
87,foraging,nearpedestrian,nearwater,0.1352
88,foraging,nearpedestrian,nearwoods,0.259
89,foraging,nearwater,nearwoods,0.3703
90,tail_twitches,nearbuilding,neargarden,0.7994
91,tail_twitches,nearbuilding,neargrass,1.0
92,tail_twitches,nearbuilding,nearpedestrian,0.6645
93,tail_twitches,nearbuilding,nearwater,0.6
94,tail_twitches,nearbuilding,nearwoods,0.1719
95,tail_twitches,neargarden,neargrass,0.6673
96,tail_twitches,neargarden,nearpedestrian,0.4762
97,tail_twitches,neargarden,nearwater,0.7755
98,tail_twitches,neargarden,nearwoods,0.1807
99,tail_twitches,neargrass,nearpedestrian,0.5917
100,tail_twitches,neargrass,nearwater,0.3251
101,tail_twitches,neargrass,nearwoods,0.0034
102,tail_twitches,nearpedestrian,nearwater,0.3146
103,tail_twitches,nearpedestrian,nearwoods,0.0742
104,tail_twitches,nearwater,nearwoods,0.0811
