hectare,long,lat,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geometry,hectare_freq
01A,-73.98088744727274,40.76819785090909,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.0,0.5454545454545454,0.2727272727272727,POINT (-73.98088744727274 40.76819785090909),11
01B,-73.9802406562963,40.767892285925925,0.18518518518518517,0.25925925925925924,0.18518518518518517,0.4444444444444444,0.37037037037037035,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.8518518518518519,0.0,POINT (-73.9802406562963 40.767892285925925),27
01C,-73.9793953625,40.76756042666667,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.8333333333333334,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,POINT (-73.9793953625 40.76756042666667),12
01D,-73.97821483999999,40.766933203125,0.25,0.125,0.1875,0.125,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.5625,0.0,POINT (-73.97821483999999 40.766933203125),16
01E,-73.97736158875,40.76652373375,0.0,0.0,0.25,0.0,0.875,0.0,0.0,0.0,0.0,0.25,0.125,0.5,0.0,POINT (-73.97736158875 40.76652373375),8
01F,-73.97653674375,40.766187933750004,0.0,0.0,0.125,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.625,0.125,POINT (-73.97653674375 40.766187933750004),8
01G,-73.97488876142857,40.765527982857144,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,POINT (-73.97488876142857 40.765527982857144),7
01H,-73.97390357,40.7651800975,0.25,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,POINT (-73.97390357 40.7651800975),4
01I,-73.9731966975,40.7651158925,0.25,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,1.0,POINT (-73.9731966975 40.7651158925),4
02A,-73.98083267400001,40.76875454466666,0.4,0.06666666666666667,0.06666666666666667,0.4,0.4,0.0,0.0,0.0,0.13333333333333333,0.4,0.06666666666666667,0.4666666666666667,0.13333333333333333,POINT (-73.98083267400001 40.76875454466666),15
02B,-73.97987272882354,40.7684816317647,0.23529411764705882,0.0,0.058823529411764705,0.23529411764705882,0.47058823529411764,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.4117647058823529,0.058823529411764705,POINT (-73.97987272882354 40.7684816317647),17
02C,-73.97894876950001,40.767873504,0.15,0.15,0.15,0.25,0.45,0.0,0.0,0.0,0.0,0.05,0.15,0.05,0.1,POINT (-73.97894876950001 40.767873504),20
02D,-73.977813605,40.767659441250004,0.25,0.125,0.5,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,POINT (-73.977813605 40.767659441250004),8
02E,-73.97687446583333,40.7672084275,0.08333333333333333,0.0,0.25,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.25,0.08333333333333333,0.8333333333333334,0.08333333333333333,POINT (-73.97687446583333 40.7672084275),12
02F,-73.97541150529412,40.76678418882353,0.47058823529411764,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.8235294117647058,0.058823529411764705,POINT (-73.97541150529412 40.76678418882353),17
